"學年度","代碼","學校名稱","公/私立","縣市名稱","地址","電話","網址"
112,011601,私立育才國小,私立,[01]新北市,[234]新北市永和區福和路125巷20號,(02)29214630,https://www.ytes.ntpc.edu.tw
112,011602,私立聖心國小,私立,[01]新北市,[249]新北市八里區龍米路一段261號,(02)26182330,https://lshes.com
112,011603,私立及人國小,私立,[01]新北市,[234]新北市永和區文化路172號,(02)29212145,https://www.cjps.ntpc.edu.tw
112,011604,私立竹林國小,私立,[01]新北市,[234]新北市永和區竹林路34號,(02)29243919,https://www.clse.ntpc.edu.tw
112,011606,私立信賢種籽親子實小,私立,[01]新北市,[233]新北市烏來區信賢里娃娃谷41號,(02)26616648,https://seedling.tw
112,013601,市立北大國小,公立,[01]新北市,[237]新北市三峽區國光街100號,(02)86716836,https://www.bdes.ntpc.edu.tw
112,013602,市立新林國小,公立,[01]新北市,[244]新北市林口區三民路101號,(02)26086521,https://www.xles.ntpc.edu.tw
112,013603,市立淡海國小,公立,[01]新北市,[251]新北市淡水區新市二路二段81號,(02)28051698,https://www.dhps.ntpc.edu.tw
112,013604,市立東湖國小,公立,[01]新北市,[244]新北市林口區佳林路200號,(02)26098195,https://www.dhes.ntpc.edu.tw/
112,014601,市立板橋國小,公立,[01]新北市,[220]新北市板橋區黃石里文化路一段23號,(02)29686834,https://www.pcps.ntpc.edu.tw
112,014602,市立國光國小,公立,[01]新北市,[220]新北市板橋區中正路325巷30號,(02)29680612,https://www.kkes.ntpc.edu.tw
112,014603,市立新埔國小,公立,[01]新北市,[220]新北市板橋區新翠里陽明街206號,(02)22571830,https://www.spes.ntpc.edu.tw
112,014604,市立埔墘國小,公立,[01]新北市,[220]新北市板橋區永豐街42之8號,(02)29616690,https://www.pces.ntpc.edu.tw
112,014605,市立莒光國小,公立,[01]新北市,[220]新北市板橋區華翠里莒光路163號,(02)22517272,https://www.jges.ntpc.edu.tw
112,014606,市立後埔國小,公立,[01]新北市,[220]新北市板橋區重慶路157號,(02)29614142,https://www.hpes.ntpc.edu.tw
112,014607,市立海山國小,公立,[01]新北市,[220]新北市板橋區漢生東路280號,(02)29545725,https://www.hsps.ntpc.edu.tw
112,014608,市立江翠國小,公立,[01]新北市,[220]新北市板橋區松翠里文化路二段413號,(02)22526880,https://www.ctes.ntpc.edu.tw
112,014610,市立文聖國小,公立,[01]新北市,[220]新北市板橋區文聖街86號,(02)22530782,https://www.wses.ntpc.edu.tw
112,014611,市立沙崙國小,公立,[01]新北市,[220]新北市板橋區篤行路二段132號,(02)26812764,https://www.sles.ntpc.edu.tw
112,014612,市立文德國小,公立,[01]新北市,[220]新北市板橋區新翠里英士路179號,(02)22577193,https://www.wdps.ntpc.edu.tw
112,014613,市立樹林國小,公立,[01]新北市,[238]新北市樹林區樹西里育英街176號,(02)26812014,https://www.slps.ntpc.edu.tw
112,014614,市立文林國小,公立,[01]新北市,[238]新北市樹林區潭底里千歲街59號,(02)26812625,https://www.twles.ntpc.edu.tw
112,014615,市立大同國小,公立,[01]新北市,[238]新北市樹林區大同里大同街43號,(02)86865486,https://www.ttps.ntpc.edu.tw
112,014616,市立武林國小,公立,[01]新北市,[238]新北市樹林區保安街二段151號,(02)26812475,https://www.wles.ntpc.edu.tw
112,014617,市立山佳國小,公立,[01]新北市,[238]新北市樹林區中山路三段5號,(02)26806673,https://www.sjes.ntpc.edu.tw
112,014618,市立育德國小,公立,[01]新北市,[238]新北市樹林區中山里佳園路一段34號,(02)26805557,https://www.ytps.ntpc.edu.tw
112,014619,市立柑園國小,公立,[01]新北市,[238]新北市樹林區柑園街一段353號,(02)26802507,https://www.gyes.ntpc.edu.tw
112,014620,市立鶯歌國小,公立,[01]新北市,[239]新北市鶯歌區同慶里尖山埔路106號,(02)26792038,https://www.ykes.ntpc.edu.tw
112,014621,市立二橋國小,公立,[01]新北市,[239]新北市鶯歌區二橋里中正三路106號,(02)26792364,https://www.eqes.ntpc.edu.tw
112,014622,市立中湖國小,公立,[01]新北市,[239]新北市鶯歌區中湖里中湖街25號,(02)86775640,https://www.chues.ntpc.edu.tw
112,014623,市立鳳鳴國小,公立,[01]新北市,[239]新北市鶯歌區鳳鳴里永和街120號,(02)26797554,https://www.fmes.ntpc.edu.tw
112,014624,市立三峽國小,公立,[01]新北市,[237]新北市三峽區中山路16號,(02)26711018,https://www.shps.ntpc.edu.tw
112,014625,市立大埔國小,公立,[01]新北市,[237]新北市三峽區大埔路130號,(02)26712523,https://www.tpps.ntpc.edu.tw
112,014626,市立民義國小,公立,[01]新北市,[237]新北市三峽區嘉添里白雞路40號,(02)26711895,https://www.myes.ntpc.edu.tw/
112,014627,市立成福國小,公立,[01]新北市,[237]新北市三峽區溪東里溪東路213號,(02)86764945,https://www.chenfu.ntpc.edu.tw
112,014628,市立大成國小,公立,[01]新北市,[237]新北市三峽區成福路251巷二號,(02)26726521,https://www.dces.ntpc.edu.tw
112,014629,市立建安國小,公立,[01]新北市,[237]新北市三峽區安坑里建安路67號,(02)26726783,https://web.caes.ntpc.edu.tw
112,014630,市立插角國小,公立,[01]新北市,[237]新北市三峽區插角里插角路39號,(02)26720230,https://www.cgps.ntpc.edu.tw
112,014631,市立有木國小,公立,[01]新北市,[237]新北市三峽區有木里131號,(02)26720067,https://www.ymps.ntpc.edu.tw
112,014632,市立五寮國小,公立,[01]新北市,[237]新北市三峽區五寮里69號,(02)26720298,https://www.wres.ntpc.edu.tw
112,014633,市立中和國小,公立,[01]新北市,[235]新北市中和區中和路100號,(02)22492550,https://www.jhes.ntpc.edu.tw
